Libre wave 151-250 workers=4 glossary=514 entries
FAIL siman_157\beur-hagra\part-001.txt 1 י fetch failed
FAIL siman_157\siftei-kohen\part-001.txt 1 ז fetch failed
FAIL siman_157\baer-heitev\part-001.txt 2 ג fetch failed
FAIL siman_157\turei-zahav\part-001.txt 1 ג fetch failed
FAIL siman_157\yad-avraham\part-001.txt 1 _ fetch failed
FAIL siman_157\siftei-kohen\part-001.txt 1 ח fetch failed
FAIL siman_157\beur-hagra\part-001.txt 1 נ fetch failed
FAIL siman_157\turei-zahav\part-001.txt 1 ו fetch failed
FAIL siman_157\turei-zahav\part-001.txt 1 ז fetch failed
FAIL siman_157\siftei-kohen\part-001.txt 1 ט fetch failed
FAIL siman_157\beur-hagra\part-001.txt 1 ס fetch failed
FAIL siman_157\siftei-kohen\part-001.txt 1 י fetch failed
FAIL siman_157\turei-zahav\part-001.txt 2 _ fetch failed
FAIL siman_157\beur-hagra\part-001.txt 1 ע fetch failed
FAIL siman_157\turei-zahav\part-001.txt 3 _ fetch failed
FAIL siman_157\siftei-kohen\part-001.txt 1 ל fetch failed
FAIL siman_157\beur-hagra\part-001.txt 1 צ fetch failed
FAIL siman_157\siftei-kohen\part-001.txt 2 א fetch failed
FAIL siman_157\beur-hagra\part-001.txt 2 ב fetch failed
FAIL siman_157\siftei-kohen\part-001.txt 2 ב fetch failed
FAIL siman_157\beur-hagra\part-001.txt 3 א fetch failed
FAIL siman_157\siftei-kohen\part-001.txt 2 ג fetch failed
siman_157 libre-wave DONE (0 blocks)
FAIL siman_158\beur-hagra\part-001.txt 1 ג fetch failed
FAIL siman_158\baer-heitev\part-001.txt 1 _ fetch failed
FAIL siman_158\beer-hagolah\part-001.txt 2 ב fetch failed
FAIL siman_158\nekudot-hakesef\part-001.txt 1 _ fetch failed
FAIL siman_158\pitchei-teshuva\part-001.txt 1 _ fetch failed
FAIL siman_158\baer-heitev\part-001.txt 2 _ fetch failed
FAIL siman_158\beur-hagra\part-001.txt 1 ד fetch failed
FAIL siman_158\rabbi-akiva-eiger-yd\part-001.txt 1 _ fetch failed
FAIL siman_158\turei-zahav\part-001.txt 1 _ fetch failed
FAIL siman_158\beur-hagra\part-001.txt 1 ה fetch failed
FAIL siman_158\beur-hagra\part-001.txt 2 ד fetch failed
siman_158 libre-wave DONE (2 blocks)
FAIL siman_159\beur-hagra\part-001.txt 1 א fetch failed
FAIL siman_159\pitchei-teshuva\part-001.txt 3 _ fetch failed
FAIL siman_159\rabbi-akiva-eiger-yd\part-001.txt 1 _ fetch failed
FAIL siman_159\beur-hagra\part-001.txt 2 א fetch failed
FAIL siman_159\turei-zahav\part-001.txt 1 _ fetch failed
FAIL siman_159\yad-avraham\part-001.txt 1 _ fetch failed
FAIL siman_159\siftei-kohen\part-001.txt 3 ב fetch failed
FAIL siman_159\beur-hagra\part-001.txt 2 ב fetch failed
FAIL siman_159\turei-zahav\part-001.txt 2 _ fetch failed
FAIL siman_159\yad-ephraim\part-001.txt 1 _ fetch failed
FAIL siman_159\turei-zahav\part-001.txt 3 _ fetch failed
siman_159 libre-wave DONE (6 blocks)
FAIL siman_160\beur-hagra\part-001.txt 2 ב fetch failed
FAIL siman_160\nekudot-hakesef\part-001.txt 1 _ fetch failed
FAIL siman_160\beer-hagolah\part-001.txt 6 _ fetch failed
FAIL siman_160\baer-heitev\part-001.txt 6 א fetch failed
FAIL siman_160\nekudot-hakesef\part-001.txt 2 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 4 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 5 ב fetch failed
FAIL siman_160\baer-heitev\part-001.txt 13 ג fetch failed
FAIL siman_160\nekudot-hakesef\part-001.txt 3 _ fetch failed
FAIL siman_160\beer-hagolah\part-001.txt 15 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 5 ד fetch failed
FAIL siman_160\baer-heitev\part-001.txt 16 ב fetch failed
FAIL siman_160\nekudot-hakesef\part-001.txt 5 _ fetch failed
FAIL siman_160\beer-hagolah\part-001.txt 18 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 6 א fetch failed
FAIL siman_160\baer-heitev\part-001.txt 18 ג fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 1 _ fetch failed
FAIL siman_160\rabbi-akiva-eiger-yd\part-001.txt 1 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 12 א fetch failed
FAIL siman_160\baer-heitev\part-001.txt 20 א fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 2 _ fetch failed
FAIL siman_160\rabbi-akiva-eiger-yd\part-001.txt 2 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 13 א fetch failed
FAIL siman_160\baer-heitev\part-001.txt 20 ב fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 5 _ fetch failed
FAIL siman_160\rabbi-akiva-eiger-yd\part-001.txt 3 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 13 ב fetch failed
FAIL siman_160\baer-heitev\part-001.txt 22 _ fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 6 _ fetch failed
FAIL siman_160\rabbi-akiva-eiger-yd\part-001.txt 5 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 14 א fetch failed
FAIL siman_160\baer-heitev\part-001.txt 23 _ fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 7 _ fetch failed
FAIL siman_160\rabbi-akiva-eiger-yd\part-001.txt 7 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 14 ב fetch failed
FAIL siman_160\siftei-kohen\part-001.txt 4 א fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 8 _ fetch failed
FAIL siman_160\rabbi-akiva-eiger-yd\part-001.txt 9 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 14 ה fetch failed
FAIL siman_160\siftei-kohen\part-001.txt 6 ג fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 9 _ fetch failed
FAIL siman_160\rabbi-akiva-eiger-yd\part-001.txt 10 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 16 א fetch failed
FAIL siman_160\siftei-kohen\part-001.txt 8 _ fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 10 _ fetch failed
