Retranslate simanim 202-300 codes=[mt_garbage] dry=false
OK siman_210\pitchei-teshuva\part-001.txt seif 1 marker _
OK siman_210\pitchei-teshuva\part-001.txt seif 2 marker _
OK siman_210\rabbi-akiva-eiger-yd\part-001.txt seif 2 marker _
OK siman_210\siftei-kohen\part-001.txt seif 3 marker ב
OK siman_210\turei-zahav\part-001.txt seif 1 marker ג
OK siman_210\turei-zahav\part-001.txt seif 2 marker _
OK siman_210\yad-avraham\part-001.txt seif 1 marker _
OK siman_211\baer-heitev\part-001.txt seif 1 marker _
OK siman_211\baer-heitev\part-001.txt seif 2 marker _
OK siman_211\baer-heitev\part-001.txt seif 3 marker _
OK siman_211\beer-hagolah\part-001.txt seif 1 marker א
OK siman_211\beer-hagolah\part-001.txt seif 1 marker ב
OK siman_211\beer-hagolah\part-001.txt seif 1 marker ג
OK siman_211\beer-hagolah\part-001.txt seif 2 marker ג
OK siman_211\beer-hagolah\part-001.txt seif 3 marker _
OK siman_211\beer-hagolah\part-001.txt seif 4 marker _
OK siman_211\beur-hagra\part-001.txt seif 3 marker _
OK siman_211\nekudot-hakesef\part-001.txt seif 2 marker _
OK siman_211\nekudot-hakesef\part-001.txt seif 3 marker _
OK siman_211\rabbi-akiva-eiger-yd\part-001.txt seif 1 marker _
OK siman_211\rabbi-akiva-eiger-yd\part-001.txt seif 2 marker _
OK siman_211\siftei-kohen\part-001.txt seif 1 marker א
OK siman_211\siftei-kohen\part-001.txt seif 1 marker ב
OK siman_211\siftei-kohen\part-001.txt seif 2 marker _
OK siman_211\turei-zahav\part-001.txt seif 3 marker _
OK siman_212\baer-heitev\part-001.txt seif 1 marker ב
OK siman_212\baer-heitev\part-001.txt seif 1 marker ג
OK siman_212\beur-hagra\part-001.txt seif 1 marker ג
OK siman_212\siftei-kohen\part-001.txt seif 1 marker ג
OK siman_213\baer-heitev\part-001.txt seif 1 marker א
OK siman_213\beer-hagolah\part-001.txt seif 1 marker ב
OK siman_213\beer-hagolah\part-001.txt seif 1 marker ח
OK siman_213\beer-hagolah\part-001.txt seif 2 marker _
OK siman_213\beer-hagolah\part-001.txt seif 3 marker א
OK siman_213\beer-hagolah\part-001.txt seif 3 marker ב
OK siman_213\beur-hagra\part-001.txt seif 1 marker ג
OK siman_213\beur-hagra\part-001.txt seif 1 marker ד
OK siman_213\beur-hagra\part-001.txt seif 2 marker _
OK siman_213\pitchei-teshuva\part-001.txt seif 1 marker _
