Libre wave 85-150 workers=4 glossary=514 entries
siman_085 libre-wave DONE (0 blocks)
siman_086 libre-wave DONE (0 blocks)
siman_087 libre-wave DONE (0 blocks)
siman_088 libre-wave DONE (0 blocks)
siman_089 libre-wave DONE (0 blocks)
siman_090 libre-wave DONE (0 blocks)
siman_091 libre-wave DONE (0 blocks)
siman_092 libre-wave DONE (0 blocks)
siman_093 libre-wave DONE (0 blocks)
siman_094 libre-wave DONE (0 blocks)
siman_095 libre-wave DONE (0 blocks)
FAIL siman_096\beur-hagra\part-001.txt 1 ב fetch failed
FAIL siman_096\kaf-hachayim\part-001.txt 1 _ fetch failed
FAIL siman_096\baer-heitev\part-001.txt 1 א fetch failed
FAIL siman_096\kereti\part-001.txt 1 א fetch failed
FAIL siman_096\baer-heitev\part-001.txt 1 ב fetch failed
FAIL siman_096\kaf-hachayim\part-001.txt 2 _ fetch failed
FAIL siman_096\beur-hagra\part-001.txt 1 ג fetch failed
FAIL siman_096\kereti\part-001.txt 1 ב fetch failed
FAIL siman_096\beur-hagra\part-001.txt 1 ד fetch failed
FAIL siman_096\kaf-hachayim\part-001.txt 3 _ fetch failed
FAIL siman_096\baer-heitev\part-001.txt 1 ג fetch failed
FAIL siman_096\kereti\part-001.txt 1 ג fetch failed
FAIL siman_096\baer-heitev\part-001.txt 1 ד fetch failed
FAIL siman_096\kaf-hachayim\part-001.txt 4 _ fetch failed
FAIL siman_096\beur-hagra\part-001.txt 1 ה fetch failed
FAIL siman_096\kereti\part-001.txt 1 ד fetch failed
FAIL siman_096\beur-hagra\part-001.txt 1 ו fetch failed
FAIL siman_096\kaf-hachayim\part-001.txt 5 _ fetch failed
FAIL siman_096\baer-heitev\part-001.txt 1 ה fetch failed
FAIL siman_096\kereti\part-001.txt 1 ה fetch failed
FAIL siman_096\baer-heitev\part-001.txt 1 ו fetch failed
FAIL siman_096\mateh-yehonatan\part-001.txt 1 _ fetch failed
FAIL siman_096\beur-hagra\part-001.txt 1 ז fetch failed
FAIL siman_096\kereti\part-001.txt 1 ו fetch failed
FAIL siman_096\mateh-yehonatan\part-001.txt 2 _ fetch failed
FAIL siman_096\beur-hagra\part-001.txt 1 ט fetch failed
FAIL siman_096\baer-heitev\part-001.txt 1 ז fetch failed
FAIL siman_096\kereti\part-001.txt 1 ז fetch failed
FAIL siman_096\baer-heitev\part-001.txt 1 ח fetch failed
FAIL siman_096\beur-hagra\part-001.txt 2 א fetch failed
FAIL siman_096\mateh-yehonatan\part-001.txt 3 _ fetch failed
FAIL siman_096\kereti\part-001.txt 1 ח fetch failed
FAIL siman_096\nekudot-hakesef\part-001.txt 1 _ fetch failed
FAIL siman_096\beur-hagra\part-001.txt 2 ב fetch failed
FAIL siman_096\baer-heitev\part-001.txt 1 ט fetch failed
FAIL siman_096\kereti\part-001.txt 3 א fetch failed
FAIL siman_096\baer-heitev\part-001.txt 2 א fetch failed
FAIL siman_096\beur-hagra\part-001.txt 3 ב fetch failed
FAIL siman_096\nekudot-hakesef\part-001.txt 2 _ fetch failed
FAIL siman_096\kereti\part-001.txt 3 ב fetch failed
FAIL siman_096\pitchei-teshuva\part-001.txt 1 _ fetch failed
FAIL siman_096\baer-heitev\part-001.txt 2 ב fetch failed
FAIL siman_096\peleti\part-001.txt 1 א fetch failed
FAIL siman_096\beur-hagra\part-001.txt 4 _ fetch failed
FAIL siman_096\peleti\part-001.txt 1 ב fetch failed
FAIL siman_096\baer-heitev\part-001.txt 3 א fetch failed
FAIL siman_096\pitchei-teshuva\part-001.txt 2 _ fetch failed
FAIL siman_096\beur-hagra\part-001.txt 5 א fetch failed
FAIL siman_096\pitchei-teshuva\part-001.txt 3 _ fetch failed
FAIL siman_096\beur-hagra\part-001.txt 5 ב fetch failed
FAIL siman_096\baer-heitev\part-001.txt 3 ב fetch failed
FAIL siman_096\peleti\part-001.txt 1 ג fetch failed
FAIL siman_096\baer-heitev\part-001.txt 4 א fetch failed
FAIL siman_096\beur-hagra\part-001.txt 5 ג fetch failed
FAIL siman_096\pitchei-teshuva\part-001.txt 4 _ fetch failed
FAIL siman_096\peleti\part-001.txt 2 _ fetch failed
FAIL siman_096\pitchei-teshuva\part-001.txt 5 _ fetch failed
FAIL siman_096\rabbi-akiva-eiger-yd\part-001.txt 1 _ fetch failed
FAIL siman_096\baer-heitev\part-001.txt 4 ב fetch failed
FAIL siman_096\peleti\part-001.txt 3 _ fetch failed
FAIL siman_096\baer-heitev\part-001.txt 5 א fetch failed
FAIL siman_096\rabbi-akiva-eiger-yd\part-001.txt 2 _ fetch failed
FAIL siman_096\siftei-kohen\part-001.txt 1 א fetch failed
FAIL siman_096\peleti\part-001.txt 4 _ fetch failed
FAIL siman_096\siftei-kohen\part-001.txt 1 ב fetch failed
FAIL siman_096\baer-heitev\part-001.txt 5 ב fetch failed
FAIL siman_096\rabbi-akiva-eiger-yd\part-001.txt 3 _ fetch failed
FAIL siman_096\turei-zahav\part-001.txt 1 א fetch failed
FAIL siman_096\rabbi-akiva-eiger-yd\part-001.txt 4 _ fetch failed
FAIL siman_096\yad-avraham\part-001.txt 1 _ fetch failed
FAIL siman_096\siftei-kohen\part-001.txt 1 ג fetch failed
FAIL siman_096\turei-zahav\part-001.txt 1 ב fetch failed
FAIL siman_096\siftei-kohen\part-001.txt 1 ד fetch failed
FAIL siman_096\yad-ephraim\part-001.txt 1 _ fetch failed
FAIL siman_096\rabbi-akiva-eiger-yd\part-001.txt 5 _ fetch failed
FAIL siman_096\turei-zahav\part-001.txt 1 ג fetch failed
FAIL siman_096\siftei-kohen\part-001.txt 1 ה fetch failed
FAIL siman_096\turei-zahav\part-001.txt 1 ד fetch failed
FAIL siman_096\siftei-kohen\part-001.txt 1 ו fetch failed
FAIL siman_096\turei-zahav\part-001.txt 1 ה fetch failed
FAIL siman_096\siftei-kohen\part-001.txt 1 ז fetch failed
FAIL siman_096\turei-zahav\part-001.txt 1 ו fetch failed
FAIL siman_096\siftei-kohen\part-001.txt 1 ח fetch failed
FAIL siman_096\turei-zahav\part-001.txt 1 ז fetch failed
FAIL siman_096\siftei-kohen\part-001.txt 1 ט fetch failed
FAIL siman_096\turei-zahav\part-001.txt 1 ח fetch failed
FAIL siman_096\siftei-kohen\part-001.txt 1 י fetch failed
FAIL siman_096\turei-zahav\part-001.txt 2 _ fetch failed
FAIL siman_096\turei-zahav\part-001.txt 3 _ fetch failed
FAIL siman_096\siftei-kohen\part-001.txt 1 כ fetch failed
FAIL siman_096\turei-zahav\part-001.txt 4 א fetch failed
FAIL siman_096\siftei-kohen\part-001.txt 1 ל fetch failed
FAIL siman_096\turei-zahav\part-001.txt 4 ב fetch failed
