Retranslate simanim 101-200 codes=[mt_garbage] dry=false
OK siman_124\baer-heitev\part-001.txt seif 23 marker א
OK siman_124\baer-heitev\part-001.txt seif 23 marker ב
OK siman_124\baer-heitev\part-001.txt seif 23 marker ד
OK siman_124\baer-heitev\part-001.txt seif 24 marker א
OK siman_124\baer-heitev\part-001.txt seif 24 marker ב
OK siman_124\beer-hagolah\part-001.txt seif 2 marker _
OK siman_124\beer-hagolah\part-001.txt seif 3 marker _
OK siman_124\beer-hagolah\part-001.txt seif 5 marker _
OK siman_124\beer-hagolah\part-001.txt seif 6 marker _
OK siman_124\beer-hagolah\part-001.txt seif 8 marker _
OK siman_124\beer-hagolah\part-001.txt seif 18 marker _
OK siman_124\beer-hagolah\part-001.txt seif 22 marker _
OK siman_124\beur-hagra\part-001.txt seif 2 marker ב
OK siman_124\beur-hagra\part-001.txt seif 2 marker ד
OK siman_124\beur-hagra\part-001.txt seif 3 marker _
OK siman_124\beur-hagra\part-001.txt seif 4 marker א
OK siman_124\beur-hagra\part-001.txt seif 4 marker ג
OK siman_124\beur-hagra\part-001.txt seif 8 marker א
OK siman_124\beur-hagra\part-001.txt seif 8 marker ג
OK siman_124\beur-hagra\part-001.txt seif 9 marker א
OK siman_124\beur-hagra\part-001.txt seif 9 marker ג
OK siman_124\beur-hagra\part-001.txt seif 9 marker ד
OK siman_124\beur-hagra\part-001.txt seif 10 marker ב
OK siman_124\beur-hagra\part-001.txt seif 10 marker ג
OK siman_124\beur-hagra\part-001.txt seif 11 marker א
OK siman_124\beur-hagra\part-001.txt seif 11 marker ב
OK siman_124\beur-hagra\part-001.txt seif 11 marker ג
OK siman_124\beur-hagra\part-001.txt seif 11 marker ד
OK siman_124\beur-hagra\part-001.txt seif 11 marker ה
OK siman_124\beur-hagra\part-001.txt seif 12 marker _
OK siman_124\beur-hagra\part-001.txt seif 13 marker _
OK siman_124\beur-hagra\part-001.txt seif 14 marker ב
OK siman_124\beur-hagra\part-001.txt seif 14 marker ג
OK siman_124\beur-hagra\part-001.txt seif 14 marker ה
OK siman_124\beur-hagra\part-001.txt seif 15 marker _
OK siman_124\beur-hagra\part-001.txt seif 17 marker _
OK siman_124\beur-hagra\part-001.txt seif 18 marker א
OK siman_124\beur-hagra\part-001.txt seif 18 marker ב
OK siman_124\beur-hagra\part-001.txt seif 19 marker א
OK siman_124\beur-hagra\part-001.txt seif 19 marker ב
OK siman_124\beur-hagra\part-001.txt seif 19 marker ג
OK siman_124\beur-hagra\part-001.txt seif 19 marker ו
