Libre wave 251-403 workers=4 glossary=514 entries
FAIL siman_251\beur-hagra\part-001.txt 3 ד fetch failed
FAIL siman_251\beer-hagolah\part-001.txt 1 _ fetch failed
FAIL siman_251\baer-heitev\part-001.txt 9 א fetch failed
FAIL siman_251\pitchei-teshuva\part-001.txt 1 _ fetch failed
FAIL siman_251\baer-heitev\part-001.txt 9 ב fetch failed
FAIL siman_251\beur-hagra\part-001.txt 4 _ fetch failed
FAIL siman_251\beer-hagolah\part-001.txt 3 _ fetch failed
FAIL siman_251\pitchei-teshuva\part-001.txt 3 _ fetch failed
FAIL siman_251\beer-hagolah\part-001.txt 4 _ fetch failed
FAIL siman_251\beur-hagra\part-001.txt 5 א fetch failed
FAIL siman_251\rabbi-akiva-eiger-yd\part-001.txt 2 _ fetch failed
FAIL siman_251\pitchei-teshuva\part-001.txt 7 _ fetch failed
FAIL siman_251\beur-hagra\part-001.txt 5 ג fetch failed
FAIL siman_251\beer-hagolah\part-001.txt 7 _ fetch failed
FAIL siman_251\siftei-kohen\part-001.txt 2 _ fetch failed
FAIL siman_251\beur-hagra\part-001.txt 12 _ fetch failed
FAIL siman_251\beer-hagolah\part-001.txt 8 _ fetch failed
FAIL siman_251\beer-hagolah\part-001.txt 11 _ fetch failed
siman_251 libre-wave DONE (0 blocks)
FAIL siman_252\beur-hagra\part-001.txt 2 _ fetch failed
FAIL siman_252\beer-hagolah\part-001.txt 7 _ fetch failed
FAIL siman_252\baer-heitev\part-001.txt 6 א fetch failed
FAIL siman_252\pitchei-teshuva\part-001.txt 1 _ fetch failed
FAIL siman_252\siftei-kohen\part-001.txt 1 א fetch failed
FAIL siman_252\beur-hagra\part-001.txt 4 א fetch failed
FAIL siman_252\pitchei-teshuva\part-001.txt 2 _ fetch failed
FAIL siman_252\beur-hagra\part-001.txt 10 ב fetch failed
FAIL siman_252\siftei-kohen\part-001.txt 1 ב fetch failed
FAIL siman_252\pitchei-teshuva\part-001.txt 3 _ fetch failed
FAIL siman_252\siftei-kohen\part-001.txt 6 _ fetch failed
FAIL siman_252\beur-hagra\part-001.txt 11 _ fetch failed
FAIL siman_252\pitchei-teshuva\part-001.txt 4 _ fetch failed
FAIL siman_252\pitchei-teshuva\part-001.txt 7 _ fetch failed
FAIL siman_252\beur-hagra\part-001.txt 12 א fetch failed
FAIL siman_252\siftei-kohen\part-001.txt 10 _ fetch failed
siman_252 libre-wave DONE (0 blocks)
FAIL siman_253\pitchei-teshuva\part-001.txt 1 _ fetch failed
FAIL siman_253\beer-hagolah\part-001.txt 2 _ fetch failed
FAIL siman_253\beur-hagra\part-001.txt 2 _ fetch failed
FAIL siman_253\baer-heitev\part-001.txt 1 א fetch failed
FAIL siman_253\beur-hagra\part-001.txt 3 _ fetch failed
FAIL siman_253\beer-hagolah\part-001.txt 6 _ fetch failed
FAIL siman_253\siftei-kohen\part-001.txt 3 ד fetch failed
FAIL siman_253\baer-heitev\part-001.txt 1 ג fetch failed
FAIL siman_253\turei-zahav\part-001.txt 1 ב fetch failed
FAIL siman_253\beur-hagra\part-001.txt 5 א fetch failed
FAIL siman_253\beer-hagolah\part-001.txt 8 _ fetch failed
FAIL siman_253\baer-heitev\part-001.txt 3 א fetch failed
FAIL siman_253\beur-hagra\part-001.txt 7 ב fetch failed
FAIL siman_253\beer-hagolah\part-001.txt 9 _ fetch failed
FAIL siman_253\beur-hagra\part-001.txt 7 ד fetch failed
FAIL siman_253\beur-hagra\part-001.txt 12 _ fetch failed
siman_253 libre-wave DONE (0 blocks)
FAIL siman_254\siftei-kohen\part-001.txt 2 ב fetch failed
FAIL siman_254\beur-hagra\part-001.txt 1 _ fetch failed
FAIL siman_254\baer-heitev\part-001.txt 2 א fetch failed
FAIL siman_254\turei-zahav\part-001.txt 2 ג fetch failed
FAIL siman_254\baer-heitev\part-001.txt 2 ג fetch failed
FAIL siman_254\siftei-kohen\part-001.txt 2 ד fetch failed
FAIL siman_254\beur-hagra\part-001.txt 2 _ fetch failed
siman_254 libre-wave DONE (0 blocks)
FAIL siman_255\beer-hagolah\part-001.txt 2 א fetch failed
FAIL siman_255\beur-hagra\part-001.txt 2 _ fetch failed
FAIL siman_255\beer-hagolah\part-001.txt 2 ג fetch failed
siman_255 libre-wave DONE (0 blocks)
FAIL siman_256\siftei-kohen\part-001.txt 1 א fetch failed
FAIL siman_256\baer-heitev\part-001.txt 3 _ fetch failed
FAIL siman_256\beer-hagolah\part-001.txt 6 _ fetch failed
FAIL siman_256\beur-hagra\part-001.txt 3 ב fetch failed
FAIL siman_256\baer-heitev\part-001.txt 4 ב fetch failed
FAIL siman_256\siftei-kohen\part-001.txt 4 א fetch failed
FAIL siman_256\beur-hagra\part-001.txt 4 א fetch failed
FAIL siman_256\siftei-kohen\part-001.txt 6 א fetch failed
FAIL siman_256\baer-heitev\part-001.txt 4 ג fetch failed
FAIL siman_256\beur-hagra\part-001.txt 4 ב fetch failed
FAIL siman_256\siftei-kohen\part-001.txt 6 ב fetch failed
FAIL siman_256\beur-hagra\part-001.txt 4 ג fetch failed
FAIL siman_256\beur-hagra\part-001.txt 4 ד fetch failed
FAIL siman_256\beur-hagra\part-001.txt 4 ו fetch failed
FAIL siman_256\beur-hagra\part-001.txt 5 א fetch failed
FAIL siman_256\beur-hagra\part-001.txt 6 ב fetch failed
siman_256 libre-wave DONE (0 blocks)
FAIL siman_257\nekudot-hakesef\part-001.txt 1 _ fetch failed
FAIL siman_257\beer-hagolah\part-001.txt 9 _ fetch failed
FAIL siman_257\beur-hagra\part-001.txt 2 א fetch failed
FAIL siman_257\pitchei-teshuva\part-001.txt 5 _ fetch failed
FAIL siman_257\beur-hagra\part-001.txt 3 א fetch failed
FAIL siman_257\turei-zahav\part-001.txt 6 _ fetch failed
FAIL siman_257\siftei-kohen\part-001.txt 3 ג fetch failed
FAIL siman_257\pitchei-teshuva\part-001.txt 6 _ fetch failed
FAIL siman_257\beur-hagra\part-001.txt 3 ב fetch failed
FAIL siman_257\siftei-kohen\part-001.txt 6 א fetch failed
FAIL siman_257\beur-hagra\part-001.txt 3 ד fetch failed
FAIL siman_257\beur-hagra\part-001.txt 6 _ fetch failed
siman_257 libre-wave DONE (0 blocks)
FAIL siman_258\beur-hagra\part-001.txt 1 ד fetch failed
FAIL siman_258\beer-hagolah\part-001.txt 2 _ fetch failed
FAIL siman_258\baer-heitev\part-001.txt 2 _ fetch failed
FAIL siman_258\nekudot-hakesef\part-001.txt 10 _ fetch failed
FAIL siman_258\baer-heitev\part-001.txt 7 _ fetch failed
FAIL siman_258\beer-hagolah\part-001.txt 7 _ fetch failed
FAIL siman_258\beur-hagra\part-001.txt 2 _ fetch failed
FAIL siman_258\pitchei-teshuva\part-001.txt 1 _ fetch failed
FAIL siman_258\pitchei-teshuva\part-001.txt 10 _ fetch failed
FAIL siman_258\beer-hagolah\part-001.txt 8 _ fetch failed
FAIL siman_258\baer-heitev\part-001.txt 8 ג fetch failed
FAIL siman_258\beur-hagra\part-001.txt 4 א fetch failed
FAIL siman_258\beur-hagra\part-001.txt 5 א fetch failed
FAIL siman_258\baer-heitev\part-001.txt 10 _ fetch failed
FAIL siman_258\rabbi-akiva-eiger-yd\part-001.txt 1 _ fetch failed
FAIL siman_258\pitchei-teshuva\part-001.txt 13 _ fetch failed
FAIL siman_258\rabbi-akiva-eiger-yd\part-001.txt 3 _ fetch failed
FAIL siman_258\siftei-kohen\part-001.txt 7 א fetch failed
FAIL siman_258\beur-hagra\part-001.txt 5 ב fetch failed
FAIL siman_258\turei-zahav\part-001.txt 5 א fetch failed
FAIL siman_258\rabbi-akiva-eiger-yd\part-001.txt 6 _ fetch failed
FAIL siman_258\beur-hagra\part-001.txt 5 ג fetch failed
FAIL siman_258\siftei-kohen\part-001.txt 8 א fetch failed
FAIL siman_258\turei-zahav\part-001.txt 10 _ fetch failed
FAIL siman_258\siftei-kohen\part-001.txt 8 ד fetch failed
FAIL siman_258\beur-hagra\part-001.txt 5 ד fetch failed
FAIL siman_258\rabbi-akiva-eiger-yd\part-001.txt 11 _ fetch failed
FAIL siman_258\yad-avraham\part-001.txt 1 _ fetch failed
FAIL siman_258\beur-hagra\part-001.txt 5 ה fetch failed
FAIL siman_258\siftei-kohen\part-001.txt 11 א fetch failed
FAIL siman_258\yad-avraham\part-001.txt 2 _ fetch failed
FAIL siman_258\beur-hagra\part-001.txt 5 ז fetch failed
FAIL siman_258\yad-avraham\part-001.txt 3 _ fetch failed
FAIL siman_258\beur-hagra\part-001.txt 7 ב fetch failed
FAIL siman_258\beur-hagra\part-001.txt 8 א fetch failed
FAIL siman_258\beur-hagra\part-001.txt 12 _ fetch failed
FAIL siman_258\beur-hagra\part-001.txt 13 ב fetch failed
FAIL siman_258\beur-hagra\part-001.txt 13 ג fetch failed
FAIL siman_258\beur-hagra\part-001.txt 13 ד fetch failed
siman_258 libre-wave DONE (0 blocks)
FAIL siman_259\beur-hagra\part-001.txt 1 ג fetch failed
FAIL siman_259\beer-hagolah\part-001.txt 1 _ fetch failed
FAIL siman_259\baer-heitev\part-001.txt 3 א fetch failed
FAIL siman_259\pitchei-teshuva\part-001.txt 2 _ fetch failed
FAIL siman_259\baer-heitev\part-001.txt 3 ג fetch failed
FAIL siman_259\beer-hagolah\part-001.txt 2 _ fetch failed
FAIL siman_259\beur-hagra\part-001.txt 2 א fetch failed
FAIL siman_259\pitchei-teshuva\part-001.txt 5 _ fetch failed
FAIL siman_259\beur-hagra\part-001.txt 2 ו fetch failed
FAIL siman_259\beer-hagolah\part-001.txt 5 _ fetch failed
FAIL siman_259\siftei-kohen\part-001.txt 2 ה fetch failed
FAIL siman_259\pitchei-teshuva\part-001.txt 6 _ fetch failed
FAIL siman_259\turei-zahav\part-001.txt 2 _ fetch failed
FAIL siman_259\beer-hagolah\part-001.txt 6 _ fetch failed
FAIL siman_259\beur-hagra\part-001.txt 2 ח fetch failed
FAIL siman_259\siftei-kohen\part-001.txt 2 ו fetch failed
FAIL siman_259\siftei-kohen\part-001.txt 3 ד fetch failed
FAIL siman_259\turei-zahav\part-001.txt 3 ב fetch failed
FAIL siman_259\beur-hagra\part-001.txt 5 _ fetch failed
FAIL siman_259\beur-hagra\part-001.txt 6 א fetch failed
siman_259 libre-wave DONE (0 blocks)
siman_260 libre-wave DONE (1 blocks)
FAIL siman_261\yad-avraham\part-001.txt 1 _ fetch failed
FAIL siman_261\beur-hagra\part-001.txt 1 ו fetch failed
siman_261 libre-wave DONE (1 blocks)
FAIL siman_262\beur-hagra\part-001.txt 3 _ fetch failed
FAIL siman_262\baer-heitev\part-001.txt 1 _ fetch failed
FAIL siman_262\beer-hagolah\part-001.txt 2 ג fetch failed
FAIL siman_262\pitchei-teshuva\part-001.txt 1 _ fetch failed
FAIL siman_262\beer-hagolah\part-001.txt 3 _ fetch failed
FAIL siman_262\baer-heitev\part-001.txt 2 א fetch failed
FAIL siman_262\beur-hagra\part-001.txt 7 _ fetch failed
FAIL siman_262\pitchei-teshuva\part-001.txt 3 _ fetch failed
FAIL siman_262\rabbi-akiva-eiger-yd\part-001.txt 2 _ fetch failed
FAIL siman_262\beer-hagolah\part-001.txt 4 ב fetch failed
FAIL siman_262\pitchei-teshuva\part-001.txt 4 _ fetch failed
FAIL siman_262\turei-zahav\part-001.txt 1 ב fetch failed
FAIL siman_262\pitchei-teshuva\part-001.txt 6 _ fetch failed
FAIL siman_262\siftei-kohen\part-001.txt 1 ב fetch failed
siman_262 libre-wave DONE (5 blocks)
FAIL siman_263\pitchei-teshuva\part-001.txt 4 _ fetch failed
FAIL siman_263\rabbi-akiva-eiger-yd\part-001.txt 1 _ fetch failed
FAIL siman_263\beur-hagra\part-001.txt 4 א fetch failed
FAIL siman_263\rabbi-akiva-eiger-yd\part-001.txt 2 _ fetch failed
FAIL siman_263\siftei-kohen\part-001.txt 5 ג fetch failed
FAIL siman_263\beer-hagolah\part-001.txt 3 _ fetch failed
FAIL siman_263\turei-zahav\part-001.txt 5 _ fetch failed
FAIL siman_263\beer-hagolah\part-001.txt 4 _ fetch failed
FAIL siman_263\beer-hagolah\part-001.txt 5 ב fetch failed
siman_263 libre-wave DONE (3 blocks)
FAIL siman_264\nekudot-hakesef\part-001.txt 1 _ fetch failed
FAIL siman_264\beer-hagolah\part-001.txt 3 _ fetch failed
FAIL siman_264\baer-heitev\part-001.txt 1 א fetch failed
FAIL siman_264\beur-hagra\part-001.txt 1 ו fetch failed
FAIL siman_264\baer-heitev\part-001.txt 6 _ fetch failed
FAIL siman_264\pitchei-teshuva\part-001.txt 1 _ fetch failed
FAIL siman_264\nekudot-hakesef\part-001.txt 3 _ fetch failed
FAIL siman_264\beur-hagra\part-001.txt 1 ח fetch failed
FAIL siman_264\nekudot-hakesef\part-001.txt 4 _ fetch failed
FAIL siman_264\pitchei-teshuva\part-001.txt 5 _ fetch failed
FAIL siman_264\siftei-kohen\part-001.txt 1 ה fetch failed
FAIL siman_264\beur-hagra\part-001.txt 1 י fetch failed
FAIL siman_264\yad-avraham\part-001.txt 2 _ fetch failed
FAIL siman_264\turei-zahav\part-001.txt 6 _ fetch failed
FAIL siman_264\beur-hagra\part-001.txt 1 ל fetch failed
FAIL siman_264\beur-hagra\part-001.txt 2 _ fetch failed
FAIL siman_264\beur-hagra\part-001.txt 5 _ fetch failed
siman_264 libre-wave DONE (0 blocks)
FAIL siman_265\beur-hagra\part-001.txt 1 א fetch failed
FAIL siman_265\baer-heitev\part-001.txt 1 א fetch failed
FAIL siman_265\beer-hagolah\part-001.txt 7 _ fetch failed
FAIL siman_265\pitchei-teshuva\part-001.txt 2 _ fetch failed
FAIL siman_265\siftei-kohen\part-001.txt 1 א fetch failed
FAIL siman_265\baer-heitev\part-001.txt 1 ב fetch failed
FAIL siman_265\beur-hagra\part-001.txt 1 ד fetch failed
FAIL siman_265\pitchei-teshuva\part-001.txt 4 _ fetch failed
FAIL siman_265\beur-hagra\part-001.txt 1 ה fetch failed
FAIL siman_265\baer-heitev\part-001.txt 1 ג fetch failed
FAIL siman_265\siftei-kohen\part-001.txt 1 ה fetch failed
FAIL siman_265\pitchei-teshuva\part-001.txt 6 _ fetch failed
FAIL siman_265\siftei-kohen\part-001.txt 1 ו fetch failed
FAIL siman_265\baer-heitev\part-001.txt 4 ב fetch failed
FAIL siman_265\beur-hagra\part-001.txt 2 ג fetch failed
FAIL siman_265\pitchei-teshuva\part-001.txt 10 _ fetch failed
FAIL siman_265\beur-hagra\part-001.txt 3 ב fetch failed
FAIL siman_265\baer-heitev\part-001.txt 7 _ fetch failed
FAIL siman_265\siftei-kohen\part-001.txt 4 א fetch failed
FAIL siman_265\pitchei-teshuva\part-001.txt 11 _ fetch failed
FAIL siman_265\siftei-kohen\part-001.txt 5 א fetch failed
FAIL siman_265\turei-zahav\part-001.txt 1 _ fetch failed
FAIL siman_265\beur-hagra\part-001.txt 3 ד fetch failed
FAIL siman_265\pitchei-teshuva\part-001.txt 13 _ fetch failed
FAIL siman_265\turei-zahav\part-001.txt 2 _ fetch failed
FAIL siman_265\siftei-kohen\part-001.txt 7 _ fetch failed
FAIL siman_265\beur-hagra\part-001.txt 4 ב fetch failed
FAIL siman_265\turei-zahav\part-001.txt 5 _ fetch failed
FAIL siman_265\siftei-kohen\part-001.txt 8 א fetch failed
FAIL siman_265\beur-hagra\part-001.txt 4 ג fetch failed
FAIL siman_265\siftei-kohen\part-001.txt 11 ג fetch failed
FAIL siman_265\turei-zahav\part-001.txt 9 _ fetch failed
FAIL siman_265\beur-hagra\part-001.txt 5 א fetch failed
FAIL siman_265\beur-hagra\part-001.txt 5 ג fetch failed
FAIL siman_265\beur-hagra\part-001.txt 7 א fetch failed
FAIL siman_265\beur-hagra\part-001.txt 7 ב fetch failed
FAIL siman_265\beur-hagra\part-001.txt 7 ג fetch failed
FAIL siman_265\beur-hagra\part-001.txt 8 א fetch failed
siman_265 libre-wave DONE (6 blocks)
FAIL siman_266\baer-heitev\part-001.txt 4 _ fetch failed
FAIL siman_266\beur-hagra\part-001.txt 2 ב fetch failed
FAIL siman_266\beur-hagra\part-001.txt 2 ד fetch failed
FAIL siman_266\beur-hagra\part-001.txt 4 _ fetch failed
FAIL siman_266\beer-hagolah\part-001.txt 10 ו fetch failed
FAIL siman_266\baer-heitev\part-001.txt 12 _ fetch failed
FAIL siman_266\beur-hagra\part-001.txt 7 ב fetch failed
FAIL siman_266\siftei-kohen\part-001.txt 9 ב fetch failed
FAIL siman_266\turei-zahav\part-001.txt 11 א fetch failed
siman_266 libre-wave DONE (27 blocks)
FAIL siman_267\beer-hagolah\part-001.txt 4 _ fetch failed
FAIL siman_267\beur-hagra\part-001.txt 1 ג fetch failed
FAIL siman_267\beur-hagra\part-002.txt 76 א fetch failed
FAIL siman_267\baer-heitev\part-001.txt 9 ב fetch failed
FAIL siman_267\baer-heitev\part-001.txt 12 _ fetch failed
FAIL siman_267\beur-hagra\part-001.txt 3 א fetch failed
FAIL siman_267\beur-hagra\part-002.txt 77 א fetch failed
FAIL siman_267\baer-heitev\part-001.txt 21 _ fetch failed
FAIL siman_267\beur-hagra\part-001.txt 7 _ fetch failed
FAIL siman_267\beur-hagra\part-002.txt 77 ב fetch failed
FAIL siman_267\baer-heitev\part-001.txt 22 א fetch failed
FAIL siman_267\beur-hagra\part-002.txt 80 י fetch failed
FAIL siman_267\beer-hagolah\part-001.txt 25 _ fetch failed
FAIL siman_267\pitchei-teshuva\part-001.txt 9 _ fetch failed
FAIL siman_267\pitchei-teshuva\part-001.txt 12 _ fetch failed
FAIL siman_267\baer-heitev\part-001.txt 76 ב fetch failed
FAIL siman_267\rabbi-akiva-eiger-yd\part-001.txt 1 _ fetch failed
FAIL siman_267\beur-hagra\part-001.txt 17 ט fetch failed
FAIL siman_267\siftei-kohen\part-001.txt 1 ב fetch failed
FAIL siman_267\rabbi-akiva-eiger-yd\part-001.txt 2 _ fetch failed
FAIL siman_267\beur-hagra\part-001.txt 20 ב fetch failed
FAIL siman_267\siftei-kohen\part-001.txt 2 ב fetch failed
FAIL siman_267\beur-hagra\part-001.txt 22 א fetch failed
FAIL siman_267\siftei-kohen\part-001.txt 8 א fetch failed
FAIL siman_267\rabbi-akiva-eiger-yd\part-001.txt 6 _ fetch failed
FAIL siman_267\beer-hagolah\part-001.txt 76 _ fetch failed
FAIL siman_267\beur-hagra\part-001.txt 22 ג fetch failed
FAIL siman_267\siftei-kohen\part-001.txt 12 א fetch failed
FAIL siman_267\rabbi-akiva-eiger-yd\part-001.txt 7 _ fetch failed
FAIL siman_267\beur-hagra\part-001.txt 22 ה fetch failed
FAIL siman_267\siftei-kohen\part-001.txt 12 ב fetch failed
FAIL siman_267\rabbi-akiva-eiger-yd\part-001.txt 9 _ fetch failed
FAIL siman_267\turei-zahav\part-001.txt 39 _ fetch failed
FAIL siman_267\beur-hagra\part-001.txt 22 ו fetch failed
FAIL siman_267\turei-zahav\part-001.txt 40 _ fetch failed
FAIL siman_267\siftei-kohen\part-001.txt 21 א fetch failed
FAIL siman_267\beur-hagra\part-001.txt 22 ז fetch failed
FAIL siman_267\turei-zahav\part-001.txt 45 _ fetch failed
FAIL siman_267\turei-zahav\part-001.txt 53 _ fetch failed
FAIL siman_267\beur-hagra\part-001.txt 26 ה fetch failed
FAIL siman_267\turei-zahav\part-001.txt 59 ג fetch failed
FAIL siman_267\turei-zahav\part-001.txt 74 ב fetch failed
FAIL siman_267\beur-hagra\part-001.txt 26 ח fetch failed
FAIL siman_267\turei-zahav\part-001.txt 75 ב fetch failed
FAIL siman_267\siftei-kohen\part-001.txt 79 _ fetch failed
FAIL siman_267\turei-zahav\part-001.txt 76 א fetch failed
FAIL siman_267\beur-hagra\part-001.txt 36 ב fetch failed
FAIL siman_267\beur-hagra\part-001.txt 62 ד fetch failed
siman_267 libre-wave DONE (94 blocks)
FAIL siman_268\beur-hagra\part-001.txt 1 ד fetch failed
FAIL siman_268\pitchei-teshuva\part-001.txt 8 _ fetch failed
FAIL siman_268\beur-hagra\part-001.txt 1 ה fetch failed
FAIL siman_268\yad-avraham\part-001.txt 1 _ fetch failed
FAIL siman_268\siftei-kohen\part-001.txt 3 ב fetch failed
FAIL siman_268\turei-zahav\part-001.txt 1 א fetch failed
