Libre wave 251-403 workers=4 glossary=514 entries
FAIL siman_268\siftei-kohen\part-001.txt 3 ד fetch failed
FAIL siman_268\beur-hagra\part-001.txt 3 ב fetch failed
FAIL siman_268\turei-zahav\part-001.txt 3 ב fetch failed
FAIL siman_268\siftei-kohen\part-001.txt 11 _ fetch failed
FAIL siman_268\beur-hagra\part-001.txt 3 ד fetch failed
FAIL siman_268\turei-zahav\part-001.txt 4 _ fetch failed
FAIL siman_268\beur-hagra\part-001.txt 3 ה fetch failed
FAIL siman_268\beur-hagra\part-001.txt 5 א fetch failed
FAIL siman_268\beur-hagra\part-001.txt 10 א fetch failed
FAIL siman_268\beur-hagra\part-001.txt 12 א fetch failed
