Retranslate simanim 301-403 codes=[mt_garbage] dry=false
OK siman_305\rabbi-akiva-eiger-yd\part-001.txt seif 9 marker _
OK siman_305\rabbi-akiva-eiger-yd\part-001.txt seif 11 marker _
OK siman_305\rabbi-akiva-eiger-yd\part-001.txt seif 12 marker _
OK siman_305\rabbi-akiva-eiger-yd\part-001.txt seif 14 marker _
OK siman_305\siftei-kohen\part-001.txt seif 1 marker _
OK siman_305\siftei-kohen\part-001.txt seif 5 marker _
OK siman_305\siftei-kohen\part-001.txt seif 8 marker א
OK siman_305\siftei-kohen\part-001.txt seif 8 marker ב
OK siman_305\siftei-kohen\part-001.txt seif 8 marker ג
OK siman_305\siftei-kohen\part-001.txt seif 10 marker ג
OK siman_305\siftei-kohen\part-001.txt seif 11 marker א
OK siman_305\siftei-kohen\part-001.txt seif 11 marker ד
OK siman_305\siftei-kohen\part-001.txt seif 13 marker ב
OK siman_305\siftei-kohen\part-001.txt seif 16 marker _
OK siman_305\siftei-kohen\part-001.txt seif 18 marker ב
OK siman_305\siftei-kohen\part-001.txt seif 25 marker ג
